제목,가격,e북가격,연도,등수
"슬퍼하지 말아요, 곧 밤이 옵니다 (헤르만 헤세 시 필사집)",16930,14256,2024.01.20.,시/에세이 70위
꽃이 사람이다 (꽃 내음 그윽한 풀꽃문학관 편지),14540, ,2024.01.30.,시/에세이 118위
사랑인 줄 알았는데 부정맥 (노인들의 일상을 유쾌하게 담다),11970, ,2024.01.17.,시/에세이 2위
촉진하는 밤 (김소연 시집),10260, ,2023.09.14.,시/에세이 120위
내가 생각한 인생이 아니야 (인생의 가장 큰 선물은 다른 인생),16200,11340,2023.12.21.,시/에세이 13위
새벽과 음악,16200, ,2024.01.25.,시/에세이 25위
보편의 단어 (당신의 삶을 떠받치고 당신을 살아가게 하는),14400,10530,2024.01.11.,시/에세이 7위
"사는 거, 그깟 (이호준 시집)",9410, ,2024.02.04.,시/에세이 46위
보통 이하의 것들,18810, ,2023.12.31.,시/에세이 107위
선릉과 정릉 (전욱진의 2월),12830, ,2024.02.01.,시/에세이 60위
2024 신춘문예 당선시집,11970, ,2024.01.15.,시/에세이 135위
"읽을, 거리 (김민정의 1월)",12830,9450,2024.01.01.,시/에세이 143위
세상을 받아들이는 방식,13680,10080,2024.01.02.,시/에세이 148위
내가 한 말을 내가 오해하지 않기로 함 (빠더너스 문상훈 책),17820, ,2024.01.05.,시/에세이 6위
정신머리 (박참새 시집),10260,7560,2023.12.15.,시/에세이 54위
그대는 나의 여름이 되세요 (서덕준 시선집),14540,10710,2023.12.14.,시/에세이 55위
별의 길 (양세형 시집),11800,8730,2023.12.04.,시/에세이 48위
꽃을 보듯 너를 본다 (나태주 시집),9900, ,2020.11.30.,시/에세이 19위
"푸바오, 언제나 사랑해",20700, ,2024.01.15.,시/에세이 8위
너무 잘하려고 애쓰지 마라 (나태주 시집),11970, ,2022.05.31.,시/에세이 147위
하는 일마다 잘되리라 (당신이 어디에 있든 무엇을 하든),16200,11340,2023.11.13.,시/에세이 11위
사랑을 무게로 안 느끼게 (박완서 에세이),16200,12960,2024.01.22.,시/에세이 5위
마음챙김의 시,11120,8550,2020.09.17.,시/에세이 103위
고통 없는 사랑은 없다 (정호승의 시가 있는 산문집),16920, ,2024.01.29.,시/에세이 20위
남겨진 것들의 기록 (유품정리사가 써내려간 떠난 이들의 뒷모습),14540, ,2024.01.30.,시/에세이 53위
지금 알고 있는 걸 그때도 알았더라면 (잠언 시집),8550,6300,2014.12.03.,시/에세이 79위
바다는 잘 있습니다 (이병률 시집),10260,5670,2017.09.20.,시/에세이 130위
내가 아직 쓰지 않은 것 (문학동네시인선 001~199 시인의 말 모음집),2570, ,2023.10.16.,시/에세이 119위
사랑하라 한번도 상처받지 않은 것처럼,8550,6300,2008.10.24.,시/에세이 132위
듣는 사람,15390,11340,2024.01.15.,시/에세이 74위
지옥보다 더 아래 (김승일 산문),13680, ,2024.02.05.,시/에세이 83위
까다롭게 좋아하는 사람,12830, ,2024.01.20.,시/에세이 44위
낯설거나 새로운 (뜻밖의 길에 대한 장르불문 산문집),9720, ,2024.02.02.,시/에세이 102위
"밥 먹다가, 울컥 (기어이 차오른 오래된 이야기)",14540, ,2024.02.05.,시/에세이 62위
